# HOMER Peaks
# Peak finding parameters:
# tag directory = USF2_tags/
#
# total peaks = 20375
# peak size = 318
# peaks found using tags on both strands
# minimum distance between peaks = 636
# fragment length = 150
# genome size = 2000000000
# Total tags = 15985705.0
# Total tags in peaks = 1288648.0
# Approximate IP efficiency = 8.06%
# tags per bp = 0.007993
# expected tags per peak = 2.542
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 2.845597e-06
# FDR tag threshold = 13.0
# number of putative peaks = 40570
#
# input tag directory = INPUT_tags/
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 18904
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 1291
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks USF2_tags/ -style factor -i INPUT_tags/ -o USF2_peaks.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr2-116	chr2	159286488	159286806	+	127.0	0.884	205.000000	203.0	4.1	49.63	3.97e-260	32.36	2.33e-223	0.74
chr2-112	chr2	218710594	218710912	+	127.0	0.878	207.000000	203.0	7.2	28.36	4.08e-212	42.92	1.36e-247	0.74
chr3-65	chr3	72151053	72151371	+	127.0	0.916	204.000000	203.0	4.1	49.63	3.97e-260	42.63	5.35e-247	0.74
chr4-39	chr4	37453685	37454003	+	127.0	0.861	207.000000	203.0	3.1	66.18	4.77e-285	63.07	7.19e-281	0.74
chr8-28	chr8	61714756	61715074	+	127.0	0.905	203.000000	203.0	8.7	23.36	1.16e-195	52.83	1.62e-265	0.74
chr12-77	chr12	121138336	121138654	+	127.0	0.968	204.000000	203.0	2.0	99.27	2.37e-320	90.89	1.16e-312	0.74
chr13-20	chr13	49792594	49792912	+	127.0	0.843	212.000000	203.0	3.6	56.72	1.12e-271	48.67	1.99e-258	0.74
chr14-57	chr14	54136921	54137239	+	127.0	0.941	204.000000	203.0	1.5	132.36	0.00e+00	20.20	1.94e-183	0.74
chr19-103	chr19	1853406	1853724	+	127.0	0.932	204.000000	203.0	6.6	30.54	1.99e-218	63.72	9.26e-282	0.74
chr19-102	chr19	10748842	10749160	+	127.0	0.927	205.000000	203.0	7.2	28.36	4.08e-212	49.45	8.46e-260	0.74
chr20-83	chr20	372008	372326	+	127.0	0.831	207.000000	203.0	17.9	11.34	5.68e-136	25.75	6.39e-204	0.74
chr20-88	chr20	32565104	32565422	+	127.0	0.936	204.000000	203.0	12.3	16.54	8.33e-167	29.43	2.88e-215	0.74
chrX-21	chrX	50067382	50067700	+	127.0	0.925	207.000000	203.0	2.6	79.41	6.69e-301	83.52	2.71e-305	0.74
chrX-20	chrX	101348858	101349176	+	127.0	0.812	208.000000	203.0	3.1	66.18	4.77e-285	47.91	4.44e-257	0.74
chr1-115	chr1	44631779	44632097	+	126.4	0.841	205.000000	202.0	3.1	65.85	3.16e-283	42.71	5.83e-246	0.74
chr2-114	chr2	28894506	28894824	+	126.4	0.907	205.000000	202.0	9.7	20.80	5.61e-185	29.57	1.31e-214	0.74
chr3-66	chr3	38004692	38005010	+	126.4	0.877	203.000000	202.0	5.1	39.51	2.69e-239	27.70	4.29e-209	0.74
chr4-41	chr4	163550257	163550575	+	126.4	0.907	202.000000	202.0	1.5	131.70	0.00e+00	79.87	6.28e-300	0.74
chr6-53	chr6	159074349	159074667	+	126.4	0.931	208.000000	202.0	4.1	49.39	1.97e-258	57.48	1.72e-271	0.74
chr9-61	chr9	136543733	136544051	+	126.4	0.963	202.000000	202.0	2.0	98.78	2.35e-318	83.11	2.26e-303	0.74
chr18-22	chr18	48538826	48539144	+	126.4	0.893	206.000000	202.0	4.1	49.39	1.97e-258	44.89	3.11e-250	0.74
chr19-105	chr19	10836379	10836697	+	126.4	0.918	204.000000	202.0	4.6	43.90	2.55e-248	65.43	1.14e-282	0.74
chr20-80	chr20	32109523	32109841	+	126.4	0.791	212.000000	202.0	16.4	12.35	4.07e-142	26.51	2.27e-205	0.74
chr20-85	chr20	35769053	35769371	+	126.4	0.899	206.000000	202.0	22.5	8.98	7.89e-117	10.23	4.21e-127	0.74
chr1-119	chr1	56919729	56920047	+	125.7	0.950	202.000000	201.0	3.1	65.53	2.08e-281	38.01	7.87e-235	0.74
chr2-117	chr2	160269698	160270016	+	125.7	0.801	204.000000	201.0	8.7	23.13	6.31e-193	21.62	2.52e-187	0.74
chr4-40	chr4	153640035	153640353	+	125.7	0.888	202.000000	201.0	4.1	49.14	9.75e-257	71.16	1.67e-288	0.74
chr8-27	chr8	96261476	96261794	+	125.7	0.887	204.000000	201.0	4.6	43.68	1.12e-246	41.92	3.73e-243	0.74
chr12-79	chr12	119229830	119230148	+	125.7	0.919	201.000000	201.0	5.1	39.32	1.06e-237	86.19	5.06e-305	0.74
chr12-78	chr12	124109752	124110070	+	125.7	0.986	204.000000	201.0	3.1	65.53	2.08e-281	130.21	0.00e+00	0.74
chr16-104	chr16	83942857	83943175	+	125.7	0.894	206.000000	201.0	10.2	19.66	2.11e-179	37.32	2.92e-233	0.74
chr17-138	chr17	7836725	7837043	+	125.7	0.870	202.000000	201.0	11.2	17.87	1.59e-171	24.68	2.37e-198	0.74
chr17-137	chr17	78128670	78128988	+	125.7	0.788	203.000000	201.0	4.6	43.68	1.12e-246	21.93	1.64e-188	0.74
chr20-89	chr20	3739603	3739921	+	125.7	0.942	203.000000	201.0	8.2	24.57	5.35e-198	34.77	2.88e-227	0.74
chr20-93	chr20	17896386	17896704	+	125.7	0.911	202.000000	201.0	13.8	14.56	9.44e-155	36.65	1.01e-231	0.74
chr21-22	chr21	45409699	45410017	+	125.7	0.959	203.000000	201.0	8.7	23.13	6.31e-193	41.07	2.02e-241	0.74
chr1-120	chr1	14939927	14940245	+	125.1	0.882	201.000000	200.0	10.2	19.56	4.15e-178	47.95	2.26e-253	0.74
chr1-121	chr1	220787330	220787648	+	125.1	0.935	201.000000	200.0	4.1	48.90	4.79e-255	52.49	4.37e-261	0.74
chr3-67	chr3	169686896	169687214	+	125.1	0.944	203.000000	200.0	4.6	43.47	4.90e-245	108.74	1.98e-323	0.74
chr7-50	chr7	73613084	73613402	+	125.1	0.897	206.000000	200.0	6.1	32.60	1.04e-220	40.60	3.05e-239	0.74
chr9-63	chr9	129458381	129458699	+	125.1	0.917	201.000000	200.0	6.1	32.60	1.04e-220	61.51	1.31e-274	0.74
chr11-71	chr11	69799530	69799848	+	125.1	0.953	202.000000	200.0	2.6	78.24	3.30e-295	93.68	1.14e-310	0.74
chr16-106	chr16	3283279	3283597	+	125.1	0.877	200.000000	200.0	7.2	27.94	9.17e-208	44.13	2.59e-246	0.74
chr16-105	chr16	30112582	30112900	+	125.1	0.831	202.000000	200.0	9.2	21.73	8.09e-187	39.29	1.83e-236	0.74
chr18-23	chr18	136447	136765	+	125.1	0.894	201.000000	200.0	3.1	65.20	1.36e-279	71.64	1.18e-287	0.74
chr20-90	chr20	62237276	62237594	+	125.1	0.886	203.000000	200.0	12.3	16.30	3.72e-163	14.06	3.54e-151	0.74
chr21-21	chr21	37073044	37073362	+	125.1	0.840	203.000000	200.0	3.6	55.89	2.01e-266	44.45	6.24e-247	0.74
chr1-116	chr1	26723326	26723644	+	124.5	0.842	203.000000	199.0	9.2	21.62	1.76e-185	54.10	2.43e-262	0.74
chr1-118	chr1	38012394	38012712	+	124.5	0.794	202.000000	199.0	5.1	38.92	1.63e-234	73.89	7.33e-289	0.74
chr2-118	chr2	196960065	196960383	+	124.5	0.943	201.000000	199.0	6.6	29.94	1.68e-212	63.78	2.51e-276	0.74
chr8-29	chr8	93916560	93916878	+	124.5	0.912	200.000000	199.0	3.6	55.61	1.12e-264	69.64	8.12e-284	0.74
chr9-62	chr9	5628475	5628793	+	124.5	0.848	201.000000	199.0	7.2	27.80	2.56e-206	45.22	3.73e-247	0.74
chr14-58	chr14	74296046	74296364	+	124.5	0.943	199.000000	199.0	8.7	22.90	3.36e-190	69.64	8.12e-284	0.74
chr19-106	chr19	5974895	5975213	+	124.5	0.888	203.000000	199.0	8.2	24.33	3.22e-195	38.35	2.95e-233	0.74
chr20-92	chr20	4973643	4973961	+	124.5	0.859	202.000000	199.0	14.3	13.90	1.67e-149	37.87	3.38e-232	0.74
chr20-94	chr20	18001575	18001893	+	124.5	0.926	202.000000	199.0	13.8	14.42	1.99e-152	37.40	3.75e-231	0.74
chr20-84	chr20	32539062	32539380	+	124.5	0.784	206.000000	199.0	11.2	17.69	5.06e-169	15.46	4.80e-158	0.74
chr22-42	chr22	29157803	29158121	+	124.5	0.917	200.000000	199.0	5.1	38.92	1.63e-234	72.13	8.31e-287	0.74
chr2-120	chr2	208265994	208266312	+	123.9	0.872	198.000000	198.0	14.8	13.35	1.45e-145	45.67	9.18e-247	0.75
chr7-52	chr7	25951119	25951437	+	123.9	0.885	201.000000	198.0	1.5	129.10	0.00e+00	20.23	4.25e-179	0.75
chr7-53	chr7	75962944	75963262	+	123.9	0.921	198.000000	198.0	6.6	29.79	5.03e-211	53.35	7.38e-260	0.75
chr9-64	chr9	137294254	137294572	+	123.9	0.912	200.000000	198.0	9.7	20.38	1.02e-179	62.15	9.26e-273	0.75
chr22-41	chr22	30606685	30607003	+	123.9	0.886	204.000000	198.0	6.1	32.27	1.09e-217	64.82	2.52e-276	0.75
chr2-115	chr2	70142758	70143076	+	123.2	0.849	205.000000	197.0	10.7	18.35	2.75e-170	21.89	1.23e-184	0.75
chr3-68	chr3	52154727	52155045	+	123.2	0.897	197.000000	197.0	5.1	38.53	2.46e-231	54.04	1.25e-259	0.75
chr5-44	chr5	138543059	138543377	+	123.2	0.921	198.000000	197.0	7.7	25.69	9.48e-198	55.54	6.23e-262	0.75
chr5-45	chr5	179698867	179699185	+	123.2	0.900	198.000000	197.0	9.2	21.41	8.19e-183	57.67	4.19e-265	0.75
chr8-30	chr8	28401954	28402272	+	123.2	0.873	198.000000	197.0	5.1	38.53	2.46e-231	71.40	4.30e-283	0.75
chr14-59	chr14	67738929	67739247	+	123.2	0.885	198.000000	197.0	8.2	24.08	1.90e-192	59.39	1.45e-267	0.75
chr16-108	chr16	13436649	13436967	+	123.2	0.931	198.000000	197.0	6.1	32.11	3.53e-216	51.26	3.27e-255	0.75
chr18-24	chr18	7467745	7468063	+	123.2	0.942	198.000000	197.0	2.6	77.07	1.56e-289	109.05	6.51e-319	0.75
chr19-107	chr19	4391023	4391341	+	123.2	0.917	200.000000	197.0	9.7	20.28	2.08e-178	51.26	3.27e-255	0.75
chr19-108	chr19	49749400	49749718	+	123.2	0.930	199.000000	197.0	2.0	96.33	2.10e-308	66.64	2.83e-277	0.75
chr20-91	chr20	4171470	4171788	+	123.2	0.876	202.000000	197.0	19.9	9.88	2.67e-121	28.43	4.29e-206	0.75
chr5-43	chr5	43602991	43603309	+	122.6	0.890	198.000000	196.0	5.1	38.34	9.49e-230	53.28	3.78e-257	0.75
chr6-54	chr6	151325351	151325669	+	122.6	0.873	200.000000	196.0	4.6	42.60	1.70e-238	37.07	5.94e-227	0.75
chr7-54	chr7	150379074	150379392	+	122.6	0.899	198.000000	196.0	8.7	22.55	3.97e-186	41.44	3.28e-236	0.75
chr9-65	chr9	124595760	124596078	+	122.6	0.935	196.000000	196.0	7.2	27.38	5.43e-202	59.08	8.60e-266	0.75
chr10-53	chr10	70528826	70529144	+	122.6	0.902	203.000000	196.0	4.1	47.92	2.66e-248	68.59	2.70e-278	0.75
chr11-72	chr11	13140482	13140800	+	122.6	0.902	199.000000	196.0	3.6	54.77	1.90e-259	37.07	5.94e-227	0.75
chr15-25	chr15	58770997	58771315	+	122.6	0.895	197.000000	196.0	6.1	31.95	1.13e-214	50.15	4.36e-252	0.75
chr16-107	chr16	53766459	53766777	+	122.6	0.905	199.000000	196.0	7.2	27.38	5.43e-202	43.56	2.36e-240	0.75
chr16-109	chr16	72125242	72125560	+	122.6	0.871	197.000000	196.0	11.2	17.43	2.77e-165	43.88	5.81e-241	0.75
chr17-139	chr17	7915758	7916076	+	122.6	0.826	197.000000	196.0	3.6	54.77	1.90e-259	42.32	5.84e-238	0.75
chr21-23	chr21	43346064	43346382	+	122.6	0.879	196.000000	196.0	3.1	63.90	2.39e-272	57.94	3.76e-264	0.75
chr22-43	chr22	49967911	49968229	+	122.6	0.889	199.000000	196.0	11.8	16.67	1.01e-161	13.62	1.08e-145	0.75
chr1-122	chr1	12553996	12554314	+	122.0	0.937	197.000000	195.0	4.1	47.68	1.27e-246	40.12	2.50e-232	0.75
chr5-46	chr5	52794596	52794914	+	122.0	0.939	197.000000	195.0	2.0	95.35	1.94e-304	51.18	1.66e-252	0.75
chr6-56	chr6	166586782	166587100	+	122.0	0.961	196.000000	195.0	3.1	63.57	1.53e-270	72.40	2.12e-281	0.75
chr8-31	chr8	102751087	102751405	+	122.0	0.927	198.000000	195.0	4.1	47.68	1.27e-246	86.04	7.81e-296	0.75
chr10-55	chr10	45470223	45470541	+	122.0	0.921	195.000000	195.0	7.2	27.24	1.49e-200	77.10	1.17e-286	0.75
chr10-54	chr10	122344747	122345065	+	122.0	0.876	197.000000	195.0	7.7	25.43	6.23e-195	37.11	6.75e-226	0.75
chr15-24	chr15	64989350	64989668	+	122.0	0.916	198.000000	195.0	6.6	29.34	1.31e-206	57.64	2.18e-262	0.75
chr20-96	chr20	51594967	51595285	+	122.0	0.915	199.000000	195.0	13.3	14.67	8.86e-151	53.01	2.02e-255	0.75
chrX-22	chrX	147911714	147912032	+	122.0	0.947	199.000000	195.0	2.0	95.35	1.94e-304	48.27	1.21e-247	0.75
chr2-122	chr2	127418716	127419034	+	121.4	0.900	195.000000	194.0	8.7	22.32	2.01e-183	20.87	5.02e-178	0.75
chr2-123	chr2	131106267	131106585	+	121.4	0.901	194.000000	194.0	11.8	16.50	2.80e-159	31.93	1.89e-212	0.75
chr3-69	chr3	52451580	52451898	+	121.4	0.957	197.000000	194.0	7.7	25.30	1.58e-193	23.72	2.51e-188	0.75
chr3-70	chr3	57060472	57060790	+	121.4	0.971	194.000000	194.0	6.1	31.62	1.15e-211	67.12	1.12e-273	0.75
chr6-55	chr6	26195967	26196285	+	121.4	0.895	198.000000	194.0	4.6	42.16	3.06e-235	23.72	2.51e-188	0.75
chr7-55	chr7	158580355	158580673	+	121.4	0.913	195.000000	194.0	5.1	37.95	1.39e-226	44.08	6.71e-239	0.75
chr9-67	chr9	2623505	2623823	+	121.4	0.744	194.000000	194.0	7.2	27.10	4.05e-199	33.56	1.59e-216	0.75
chr9-66	chr9	132944790	132945108	+	121.4	0.718	195.000000	194.0	4.6	42.16	3.06e-235	29.83	6.51e-207	0.75
chr14-56	chr14	64503642	64503960	+	121.4	0.905	205.000000	194.0	6.1	31.62	1.15e-211	36.69	8.12e-224	0.75
chr18-25	chr18	48903325	48903643	+	121.4	0.939	195.000000	194.0	5.1	37.95	1.39e-226	50.48	4.34e-250	0.75
chr19-109	chr19	11491092	11491410	+	121.4	0.976	194.000000	194.0	8.7	22.32	2.01e-183	85.60	6.72e-294	0.75
chr21-24	chr21	46022535	46022853	+	121.4	0.952	196.000000	194.0	2.0	94.87	1.85e-302	69.49	1.48e-276	0.75
chr22-44	chr22	23717221	23717539	+	121.4	0.945	196.000000	194.0	11.2	17.25	8.36e-163	63.51	4.33e-269	0.75
chr22-45	chr22	46754508	46754826	+	121.4	0.933	195.000000	194.0	10.7	18.07	1.67e-166	55.20	1.79e-257	0.75
chr1-123	chr1	204254195	204254513	+	120.7	0.850	197.000000	193.0	6.6	29.04	1.12e-203	62.51	2.10e-266	0.75
chr2-121	chr2	112049721	112050039	+	120.7	0.898	196.000000	193.0	2.6	75.50	5.33e-282	30.77	2.35e-208	0.75
chr2-119	chr2	201158104	201158422	+	120.7	0.884	198.000000	193.0	10.2	18.88	4.09e-169	61.85	1.56e-265	0.75
chr13-22	chr13	50124363	50124681	+	120.7	0.900	196.000000	193.0	3.6	53.93	3.08e-254	27.20	2.12e-198	0.75
chr13-23	chr13	113153803	113154121	+	120.7	0.830	194.000000	193.0	8.2	23.59	6.19e-187	20.19	1.75e-174	0.75
chr14-61	chr14	77014224	77014542	+	120.7	0.888	195.000000	193.0	5.1	37.75	5.27e-225	61.21	1.14e-264	0.75
chr15-26	chr15	85413442	85413760	+	120.7	0.891	197.000000	193.0	4.6	41.95	1.29e-233	71.66	1.11e-277	0.75
chr16-111	chr16	21512571	21512889	+	120.7	0.853	194.000000	193.0	15.8	12.18	8.26e-135	24.79	6.38e-191	0.75
chr20-97	chr20	10240053	10240371	+	120.7	0.923	195.000000	193.0	5.6	34.32	3.09e-217	45.20	9.72e-240	0.75
chr20-95	chr20	59940378	59940696	+	120.7	0.786	200.000000	193.0	12.8	15.10	1.63e-151	31.26	1.22e-209	0.75
chr22-46	chr22	35470971	35471289	+	120.7	0.932	193.000000	193.0	6.1	31.46	3.65e-210	64.57	4.42e-269	0.75
chr22-47	chr22	38202773	38203091	+	120.7	0.907	193.000000	193.0	5.6	34.32	3.09e-217	25.11	6.02e-192	0.75
chr2-125	chr2	111617847	111618165	+	120.1	0.922	192.000000	192.0	11.2	17.07	2.48e-160	54.13	3.13e-253	0.75
chr4-42	chr4	83012957	83013275	+	120.1	0.916	195.000000	192.0	6.6	28.89	3.26e-202	57.88	1.02e-258	0.75
chr5-48	chr5	150485614	150485932	+	120.1	0.936	195.000000	192.0	4.6	41.73	5.42e-232	41.17	6.84e-231	0.75
chr5-50	chr5	175797802	175798120	+	120.1	0.873	192.000000	192.0	5.6	34.14	1.06e-215	50.83	4.29e-248	0.75
chr5-51	chr5	176537301	176537619	+	120.1	0.885	192.000000	192.0	4.1	46.94	1.36e-241	29.52	5.76e-204	0.75
chr8-33	chr8	101153748	101154066	+	120.1	0.941	194.000000	192.0	5.6	34.14	1.06e-215	71.29	7.93e-276	0.75
chr9-69	chr9	135491000	135491318	+	120.1	0.938	193.000000	192.0	6.6	28.89	3.26e-202	84.72	4.90e-290	0.75
chr10-56	chr10	133438872	133439190	+	120.1	0.903	194.000000	192.0	6.6	28.89	3.26e-202	82.33	1.11e-287	0.75
chr11-73	chr11	16985321	16985639	+	120.1	0.935	197.000000	192.0	4.6	41.73	5.42e-232	44.29	7.72e-237	0.75
chr11-74	chr11	46275994	46276312	+	120.1	0.894	193.000000	192.0	4.1	46.94	1.36e-241	61.53	9.67e-264	0.75
chr12-80	chr12	93570727	93571045	+	120.1	0.937	192.000000	192.0	5.6	34.14	1.06e-215	60.89	6.99e-263	0.75
chr14-60	chr14	102757210	102757528	+	120.1	0.980	196.000000	192.0	4.6	41.73	5.42e-232	49.12	2.67e-245	0.75
chr17-142	chr17	73189529	73189847	+	120.1	0.903	194.000000	192.0	11.2	17.07	2.48e-160	28.38	8.91e-201	0.75
chr19-113	chr19	48967572	48967890	+	120.1	0.791	192.000000	192.0	8.7	22.09	9.97e-181	15.34	5.53e-152	0.75
chr1-126	chr1	88992920	88993238	+	119.5	0.952	192.000000	191.0	9.2	20.76	7.31e-175	68.42	4.90e-271	0.75
chr2-124	chr2	25197831	25198149	+	119.5	0.942	193.000000	191.0	7.7	24.91	2.53e-189	51.01	4.25e-247	0.75
chr5-49	chr5	149173044	149173362	+	119.5	0.930	193.000000	191.0	7.7	24.91	2.53e-189	55.92	1.43e-254	0.75
chr6-57	chr6	43798889	43799207	+	119.5	0.903	192.000000	191.0	7.2	26.69	7.95e-195	39.56	1.77e-226	0.75
chr8-32	chr8	17614803	17615121	+	119.5	0.925	194.000000	191.0	6.1	31.13	3.59e-207	45.43	1.09e-237	0.75
chr9-68	chr9	129443001	129443319	+	119.5	0.917	193.000000	191.0	2.0	93.40	1.56e-296	12.53	1.26e-135	0.75
chr11-76	chr11	65525288	65525606	+	119.5	0.932	192.000000	191.0	3.6	53.37	8.90e-251	27.17	2.82e-196	0.75
chr14-63	chr14	33676092	33676410	+	119.5	0.923	192.000000	191.0	7.2	26.69	7.95e-195	43.08	2.27e-233	0.75
chr15-27	chr15	82856602	82856920	+	119.5	0.957	194.000000	191.0	4.6	41.51	2.26e-230	52.87	5.28e-250	0.75
chr17-144	chr17	68034139	68034457	+	119.5	0.955	193.000000	191.0	8.7	21.98	2.20e-179	23.26	6.87e-184	0.75
chr19-110	chr19	35066788	35067106	+	119.5	0.931	193.000000	191.0	6.6	28.74	9.42e-201	38.51	2.63e-224	0.75
chr20-99	chr20	38131292	38131610	+	119.5	0.946	192.000000	191.0	10.7	17.79	9.73e-163	31.78	8.11e-209	0.75
chr20-98	chr20	53652354	53652672	+	119.5	0.817	193.000000	191.0	7.7	24.91	2.53e-189	28.51	4.19e-200	0.75
chr22-48	chr22	30878981	30879299	+	119.5	0.922	192.000000	191.0	4.1	46.70	6.39e-240	49.70	5.50e-245	0.75
chr1-125	chr1	9539227	9539545	+	118.9	0.859	193.000000	190.0	5.6	33.79	1.23e-212	44.16	3.67e-234	0.75
chr1-127	chr1	23825286	23825604	+	118.9	0.931	191.000000	190.0	8.7	21.86	4.84e-178	65.74	2.21e-266	0.75
chr2-126	chr2	128179265	128179583	+	118.9	0.893	192.000000	190.0	10.2	18.58	2.71e-165	35.06	1.33e-215	0.75
chr3-71	chr3	54322376	54322694	+	118.9	0.947	192.000000	190.0	4.1	46.45	2.98e-238	79.24	1.37e-281	0.75
chr5-47	chr5	154850507	154850825	+	118.9	0.958	197.000000	190.0	9.2	20.65	1.52e-173	61.54	5.04e-261	0.75
chr11-78	chr11	71448516	71448834	+	118.9	0.928	191.000000	190.0	7.2	26.55	2.12e-193	32.87	1.96e-210	0.75
chr12-81	chr12	50112020	50112338	+	118.9	0.911	191.000000	190.0	6.1	30.97	1.12e-205	40.17	1.54e-226	0.75
chr14-64	chr14	94582900	94583218	+	118.9	0.881	191.000000	190.0	3.1	61.94	1.51e-261	34.43	3.69e-214	0.75
chr16-110	chr16	30123206	30123524	+	118.9	0.854	195.000000	190.0	8.2	23.23	8.01e-183	45.55	1.16e-236	0.75
chr17-143	chr17	2711609	2711927	+	118.9	0.920	193.000000	190.0	4.1	46.45	2.98e-238	54.06	1.61e-250	0.75
chr17-146	chr17	47323763	47324081	+	118.9	0.853	191.000000	190.0	7.7	24.78	6.29e-188	41.32	8.31e-229	0.75
chr17-140	chr17	78748809	78749127	+	118.9	0.934	196.000000	190.0	8.7	21.86	4.84e-178	19.61	1.67e-169	0.75
chr19-112	chr19	17671888	17672206	+	118.9	0.923	192.000000	190.0	6.1	30.97	1.12e-205	103.30	3.18e-303	0.75
chr2-132	chr2	71068396	71068714	+	118.2	0.860	189.000000	189.0	12.3	15.40	6.09e-150	42.63	4.19e-230	0.75
chr2-127	chr2	88545193	88545511	+	118.2	0.960	190.000000	189.0	5.6	33.61	4.15e-211	53.28	4.89e-248	0.75
chr3-72	chr3	188002617	188002935	+	118.2	0.895	190.000000	189.0	5.6	33.61	4.15e-211	24.49	5.03e-186	0.75
chr6-59	chr6	117675118	117675436	+	118.2	0.892	189.000000	189.0	16.4	11.55	4.28e-128	50.92	2.15e-244	0.75
chr9-70	chr9	89924010	89924328	+	118.2	0.945	190.000000	189.0	4.6	41.08	3.88e-227	82.21	4.31e-283	0.75
chr11-77	chr11	113898652	113898970	+	118.2	0.966	192.000000	189.0	1.5	123.23	5.47e-316	66.14	1.73e-265	0.75
chr14-62	chr14	63748799	63749117	+	118.2	0.940	194.000000	189.0	3.6	52.81	2.52e-247	35.96	1.63e-216	0.75
chr15-28	chr15	50686713	50687031	+	118.2	0.816	192.000000	189.0	3.6	52.81	2.52e-247	40.52	4.70e-226	0.75
chr17-141	chr17	19004720	19005038	+	118.2	0.885	194.000000	189.0	5.1	36.97	1.04e-218	39.15	2.76e-223	0.75
chr17-145	chr17	82328436	82328754	+	118.2	0.927	192.000000	189.0	13.3	14.22	8.19e-144	33.07	7.93e-210	0.75
chr19-115	chr19	46951674	46951992	+	118.2	0.892	190.000000	189.0	4.6	41.08	3.88e-227	23.78	1.03e-183	0.75
chr19-116	chr19	49340212	49340530	+	118.2	0.833	190.000000	189.0	4.1	46.21	1.39e-236	99.21	2.34e-298	0.75
chr1-128	chr1	16179116	16179434	+	117.6	0.942	190.000000	188.0	8.2	22.98	4.30e-180	31.11	6.91e-204	0.76
chr2-131	chr2	42939830	42940148	+	117.6	0.951	189.000000	188.0	7.2	26.27	1.49e-190	31.11	6.91e-204	0.76
chr2-133	chr2	120528313	120528631	+	117.6	0.780	189.000000	188.0	10.2	18.39	9.32e-163	12.34	2.44e-132	0.76
chr2-130	chr2	218355130	218355448	+	117.6	0.832	190.000000	188.0	4.1	45.97	6.40e-235	36.46	1.84e-216	0.76
chr3-73	chr3	5122109	5122427	+	117.6	0.831	189.000000	188.0	8.2	22.98	4.30e-180	60.89	1.90e-257	0.76
chr4-44	chr4	3781576	3781894	+	117.6	0.878	189.000000	188.0	4.6	40.86	1.59e-225	25.90	1.88e-189	0.76
chr4-45	chr4	87422516	87422834	+	117.6	0.932	189.000000	188.0	8.2	22.98	4.30e-180	46.92	1.48e-236	0.76
chr4-43	chr4	169070796	169071114	+	117.6	0.933	190.000000	188.0	6.1	30.64	1.07e-202	57.82	2.75e-253	0.76
chr5-52	chr5	134091576	134091894	+	117.6	0.925	189.000000	188.0	4.6	40.86	1.59e-225	56.12	6.82e-251	0.76
chr7-57	chr7	36389601	36389919	+	117.6	0.861	190.000000	188.0	5.1	36.77	3.84e-217	38.94	1.08e-221	0.76
chr10-57	chr10	78853905	78854223	+	117.6	0.943	190.000000	188.0	3.6	52.53	1.33e-245	85.43	1.04e-284	0.76
chr10-58	chr10	119316736	119317054	+	117.6	0.952	189.000000	188.0	7.2	26.27	1.49e-190	34.90	5.35e-213	0.76
chr12-82	chr12	56316026	56316344	+	117.6	0.844	191.000000	188.0	9.7	19.35	1.01e-166	53.49	4.68e-247	0.76
chr15-29	chr15	50718706	50719024	+	117.6	0.939	191.000000	188.0	7.2	26.27	1.49e-190	82.96	2.45e-282	0.76
chr17-147	chr17	50425682	50426000	+	117.6	0.926	190.000000	188.0	12.3	15.32	9.38e-149	19.14	7.06e-166	0.76
chr19-111	chr19	4607206	4607524	+	117.6	0.887	192.000000	188.0	7.7	24.52	3.85e-185	54.00	8.27e-248	0.76
chr19-114	chr19	40662808	40663126	+	117.6	0.946	191.000000	188.0	2.6	73.55	1.24e-272	76.32	1.29e-275	0.76
chr20-100	chr20	19631420	19631738	+	117.6	0.920	189.000000	188.0	4.1	45.97	6.40e-235	51.57	4.07e-244	0.76
chr20-101	chr20	43238881	43239199	+	117.6	0.915	188.000000	188.0	6.1	30.64	1.07e-202	57.24	1.76e-252	0.76
chr22-49	chr22	50482202	50482520	+	117.6	0.908	190.000000	188.0	3.6	52.53	1.33e-245	13.10	7.51e-137	0.76
chr2-128	chr2	201057776	201058094	+	117.0	0.942	190.000000	187.0	7.2	26.13	3.91e-189	37.71	5.60e-218	0.76
chr3-75	chr3	150737257	150737575	+	117.0	0.716	187.000000	187.0	6.6	28.14	6.23e-195	15.43	1.66e-148	0.76
chr4-46	chr4	3756383	3756701	+	117.0	0.955	188.000000	187.0	3.6	52.25	7.00e-244	62.57	2.96e-258	0.76
chr5-53	chr5	139651183	139651501	+	117.0	0.894	189.000000	187.0	6.6	28.14	6.23e-195	38.47	1.45e-219	0.76
chr6-58	chr6	53302102	53302420	+	117.0	0.946	191.000000	187.0	4.1	45.72	2.94e-233	47.84	7.26e-237	0.76
